question_id,context_id,retrieved_context_id_1,retrieved_context_id_2,retrieved_context_id_3,retrieved_context_id_4,retrieved_context_id_5
0,1,1,5,9,10,4
1,1,1,9,10,4,5
2,1,1,10,9,14,4
3,1,1,9,10,4,14
4,2,2,7,4,15,5
5,2,2,7,4,20,15
6,2,2,7,4,15,20
7,2,2,7,4,9,5
8,3,3,9,10,11,6
9,3,3,9,11,20,6
10,3,3,9,10,6,11
11,4,4,1,5,7,10
12,4,4,7,10,9,11
13,4,4,10,7,20,11
14,4,4,7,11,10,9
15,5,5,1,10,4,15
16,5,5,1,4,10,9
17,5,5,1,4,10,9
18,6,6,11,3,9,10
19,6,6,11,13,10,4
20,6,6,11,13,3,10
21,6,6,11,13,3,10
22,7,7,4,8,2,11
23,7,7,4,2,8,11
24,7,7,4,2,8,20
25,8,8,7,13,5,4
26,8,8,7,13,4,10
27,8,8,7,13,4,2
28,9,9,12,10,3,1
29,9,9,12,10,3,1
30,9,9,12,3,10,1
31,10,10,1,9,5,3
32,10,10,9,1,3,4
33,10,10,1,9,3,14
34,11,11,6,4,3,10
35,11,11,6,4,3,10
36,11,11,6,3,4,10
37,12,12,14,9,10,4
38,12,12,9,14,3,10
39,13,13,6,15,11,8
40,13,13,6,3,15,10
41,14,14,10,12,1,4
42,15,15,10,12,14,5
43,16,16,20,19,17,1
44,16,16,17,20,19,15
45,17,7,4,17,5,10
46,18,18,19,7,1,5
47,19,19,7,16,4,5
48,20,20,16,17,19,5
49,19,19,16,18,20,13
